Event	ID	Name			Wwise Object Path	Notes
	52408631	TempleMusic			\Minigame\Templerun\TempleMusic	
	149908066	Scan			\Default Work Unit\AbilitySFX\Scan	
	292708525	ZoneInteract			\Default Work Unit\LevelEvent\ZoneInteract	
	298938147	Detected			\Default Work Unit\PlayerSFX\Detected	
	367230862	MinigameExit			\Minigame\MinigameExit	
	376048184	EMP3			\Default Work Unit\AbilitySFX\EMP\EMP3	
	376048185	EMP2			\Default Work Unit\AbilitySFX\EMP\EMP2	
	376048186	EMP1			\Default Work Unit\AbilitySFX\EMP\EMP1	
	376048189	EMP6			\Default Work Unit\AbilitySFX\EMP\EMP6	
	376048190	EMP5			\Default Work Unit\AbilitySFX\EMP\EMP5	
	376048191	EMP4			\Default Work Unit\AbilitySFX\EMP\EMP4	
	385497104	EnemySlow			\Default Work Unit\EnemySFX\EnemySlow	
	454121546	Scroll			\Default Work Unit\AbilitySFX\Scroll	
	551763010	ObjectiveComplete_Event			\Default Work Unit\LevelEvent\ObjectiveComplete_Event	
	779278001	Death			\Default Work Unit\PlayerSFX\Death	
	832057375	Zone			\Default Work Unit\LvlObjects\Zone	
	1017222595	LowHealth			\Default Work Unit\PlayerSFX\LowHealth	
	1161967626	Shield			\Default Work Unit\AbilitySFX\Shield	
	1422622395	Transform			\Default Work Unit\AbilitySFX\Transform	
	1504246845	EnemyDroneAmb			\Default Work Unit\EnemySFX\EnemyDroneAmb	
	1599183472	Typing			\Default Work Unit\LoadScreen\Typing	
	1635849470	ObjInteract			\Default Work Unit\LevelEvent\ObjInteract	
	1666178350	LevelStart_Event			\Default Work Unit\LevelEvent\LevelStart_Event	
	1922958967	ProgressBar			\Default Work Unit\LoadScreen\ProgressBar	
	1942692385	Dash			\Default Work Unit\AbilitySFX\Dash	
	2045263066	TargetStashed			\Minigame\PhishingMinigame\TargetStashed	
	2090838661	EnemyBomberMove			\Default Work Unit\EnemySFX\EnemyBomberMove	
	2348200894	EnemyShark			\Default Work Unit\EnemySFX\EnemyShark	
	2461714704	HubMusicStart_Event			\Default Work Unit\LevelEvent\HubMusicStart_Event	
	2538572501	PlayerDiscovered_Event			\Default Work Unit\LevelEvent\PlayerDiscovered_Event	
	2659346142	NotFullyDetected			\Default Work Unit\PlayerSFX\NotFullyDetected	
	2698850518	RandomEMP			\Default Work Unit\AbilitySFX\EMP\RandomEMP	
	2764882286	PickupObjective			\Default Work Unit\LevelEvent\PickupObjective	
	2784187423	TakeDamage			\Default Work Unit\PlayerSFX\TakeDamage	
	2790820982	DroneScan			\Default Work Unit\EnemySFX\DroneScan	
	2827905996	TargetHooked			\Minigame\PhishingMinigame\TargetHooked	
	3352465307	BomberExplode			\Default Work Unit\EnemySFX\BomberExplode	
	3448274447	Heal			\Default Work Unit\AbilitySFX\Heal	
	3822340686	LazerFire_Event			\Default Work Unit\EnemySFX\LazerFire_Event	
	3991942870	Music			\Minigame\PhishingMinigame\Music	
	4010314750	MouseClick			\Default Work Unit\DesktopEvents\MouseClick	
	4259964371	AntivirusHit			\Minigame\PhishingMinigame\AntivirusHit	

State Group	ID	Name			Wwise Object Path	Notes
	3924600286	PlayerDetectionState			\Default Work Unit\PlayerDetectionState	

State	ID	Name	State Group			Notes
	748895195	None	PlayerDetectionState			
	2206681103	Discovered	PlayerDetectionState			
	2909291642	Stealth	PlayerDetectionState			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21226199	Bomber Explode 3	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\BOOM 3_7A9F12E9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy SFX\Explode\Explode\Bomber Explode 3		262660
	50950406	Lvl 1	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\EMP1_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Abilities SFX\EMP\Lvl 1		757856
	53535387	Slower Movement	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Slower Engine_C9F14E2F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy SFX\Slower Movement		688188
	75956038	Take Damage	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Taking Damage_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Noise\Take Damage		633696
	93620789	Typing_1	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Type1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Load Screen\Typing\Typing_1		65160
	97967462	Lvl 6	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\EMP6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Abilities SFX\EMP\Lvl 6		201240
	104176952	Typing_6	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Type6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Load Screen\Typing\Typing_6		65160
	119143867	Shield	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Shield_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Abilities SFX\Shield		262240
	153678803	Lvl 2	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\EMP2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Abilities SFX\EMP\Lvl 2		628520
	165704387	Death	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Death_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Noise\Death		856096
	187186506	Seen by Scan(Not Detected)	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\AMB_446E9E52.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player Noise\Seen by Scan(Not Detected)		852396
	215582547	Fishing Minigame	C:\Users\Owner\Downloads\Stuff\Code\Unity\Adder-Infiltration\Adder-Infiltration_WwiseProject\.cache\Windows\SFX\Fishing Minigame_Real_10C4C929.wem		\Actor-Mixer Hierarchy\Minigames\PhishingMinigame\Fishing Minigame		1411296
